(AWS)	Afrikaanse Woordelys en Spelreëls
end a relationship	afsê
end of the world	einde van die aarde, einde van die wêreld
end, come to an end, end up, expire, cease, stop	ophou
end, ending	einde
endowed	bedeeld, bedeelde
endure to the end	volhard tot die einde toe
enemy	vyand
energy	energie
enforce	afdwing
enforceable	afdwingbaar
engage (v.	)betrek
engine	enjin
engine block	enjinblok
engine performance	werkkrag
engine, machine	masjien
engineer	ingenieur
England	Engeland
English, English language	Engels
Englishman	Engelsman, Rooinek
Englishman, Sassenach	Engelsman
enormous, huge, immense	enorm
enormous, huge, immense	geweldig
enormously, extremely	deeglik
enough, sufficient	genoeg
ensign	adelbors
entangle, implicate, confuse, puzzle	verwar
enter password	tik wagwoord in, verskaf wagwoord
enter, insert, put in, put away, stow	insit
enterprise	onderneming
entertainment, amusement, fun	vermaak
enthusiasm	geesdrif
enthusiastic	geesdriftig
entire, overall, whole	hele
entire, overall, whole	volledig
entitled to a pension	pensioengeregtig
entrance, portal	toegang
entrepreneur	entrepreneur
entrepreneurial ability	entrepreneursvermoë
envious	afgunstig, afgunstige
environment, environs, surroundings	omgewing
envy	afguns
Epiphany, Twelfth-night	Driekoninge
Epiphany, Twelfth-night	Driekoningefees
equilibrium	balans
equipment	akkomodasie
equipment	uitrusting
equitable	billik-gelyke
equity	billike gelykheid
errand, message	boodskap
erroneous, mistaken, wrong, false, untrue	verkeerd
erroneous, mistaken, wrong, incorrect	onjuis
error correction	foutkorrigering (die taak), foutkorreksie (die resultaat) (clc)
escape, flee	ontkom aan
escape, flee	ontsnap
Eskimo	Eskimo
Esperantist	esperantis
Esperanto	Esperanto
essay, thesis	stelling
establish	aanlê
estate	landgoed
estate	nalatenskap
estate car	stasiewa
estate wine	landgoedwyn
estate, farm, property, ranch	boereplaas
estate, farm, property, ranch, locate, place	plaas
esteem, regard, respect	aansien
Estonia	Estland
Estonian	Est
Estonian	Ests
et cetera, et caetera	ensovoorts
etc.	ens.
eternal	ewigdurend
eternal father	ewige vader
eternal life	ewige lewe
eternal marriage	ewigdurende huwelik
eternal progression	ewigdurende vordering
eternal, for ever, forever	ewig
ethanol	etanol
ethereal smell	eteriese reuk
Ethiopia	Ethiopië
Ethiopian	Ethiopiër
Etruria	Etrurië
Etrurian, Etruscan	Etruries
Etrurian, Etruscan	Etruriër
Etrurian, Etruscan	Etruskies
eucalyptus, bluegum	bloekom
Euphrates	Eufraat
Europe	Europa
European	Europeaan
European	Europees
European	Europeër
European, white man	blanke
European, white man	witmens
Eva	Eve
evaluation	evaluering
evaporate	verdamp
evaporation	verdamping
even	selfs
even though	altans
even, regular	reëlmatig
evening	aand
evening (news)paper	aandblad, aandkoerant
evening air	aandlug
evening class	aandklas
evening class	aandskool
evening gown	aandrok, aandtabberd
evening jacket	aandbaadjie
evening meal, supper	aandete
evening star	aandster
evening wear	aanddrag, aandkleding, aandklere, aandpak
evenings	aande
event, occasion, occurence, opportunity	insident
event, occasion, occurence, opportunity	voorval
event, occasion, occurence, opportunity, chance	gebeurtenis
evergreen	altydgroen
every kind of	allerhande
everyday	alledaags, alledaagse
everyone's	almal se
everyone, everybody	almal
everything	alles
evil spirits	bose geeste
exactly, sharp	presies
exaltation	verheerliking
examine, investigation, examination, test	ondersoek
example	voorbeeld
excavate	afgrawe
excavation	afgrawing
excellent	piekfyn
exceptional	uitsonderlik
excessive, inordinate, extreme	ekstreem
exchange, power station	sentrale
excitement	opwinding
exclamation mark	uitroepteken
exclude	uitsluit
exclusive	uitgesluit
exclusively, just, only, alone, solely	slegs
exclusively, just, only, alone, solely, exactly	net
excommunicate	ekskommunikeer
excommunication	ekskommunikasie
excursion, outing, sightseeing trip	uitstappie
excuse me	verskoon my
execute	uitvoer
executive secretary	uitvoerende sekretaris
exercise, practice	oefening
exercise, practise	oefen
exert, practice	beoefen
exhaust pipe	uitlaatpyp
exhaust stack	uitlaatstaanpyp (vragmotor)
exhaust valve	uitlaatklep
exhausted, used up	uitgeput
exhausting	afmattend, afmattende
exhibition, exposition	uitstalling
exile, banishment	ballingskap
exist	bestaan
exit, go out	uitgaan
Exodus	Eksodus
expenses	besteding
experience	ervaring
experience	ondervinding
experience, live through, survive	deurmaak
experienced	bedrewe
experienced, expert	ervare
experiment	eksperiment
explain, clarify	verduidelik
explanation	verduideliking
explode	ontplof
explosion	ontploffing
export	uitvoer
express	uitdruk
expression	uitdrukking
expression, face	gesig
extension	uitbreiding
extension (to building)	aanbouing, aanbousel
extensive, spacious, vast, wide	uitgestrek
exterior plate coating	buitedekking (verflaag)
exterminate, wipe out	uitroei
external modem	eksterne modem
extinguish, put out	blus
extinguish, put out	doodmaak
extra	ekstra
extra dry, extra sec	ekstra-droog
extract	ekstrak
fabricate, manufacture, do, make, perform	vervaardig
face	aangesig
facial nerve	aangesigsenuwee
facial paralysis	aangesigsverlamming
facilitate	fasiliteer
facilitate	fasiliteer 
facilitator	fasiliteerder
fact	feit
factory	fabriek
factory fitted	fabrieksgemonteerd
factory roof trellising	fabrieksdakstelsel
fade	verbleik
fade (n)	dower (radio)
fader control	dowerkontrole (radio)
fail	faal, nie plaasvind nie (koppeling), gebreek, onderbreek (verbinding)
faint, light, weak	swak
faint, swoon	flou word
fair	regverdig(e)
fair, just, righteous	billik
fair, just, righteous	regverdig
fairy	fee
faith	geloof
fall of man	val van die mens
fall off	afval
false	vals
family	familie
family	gesin
family home evening	gesinsaand
famous, glorious	beroemd
fan belt	waaierband
fancy, imagine	verbeeld hom
FAQ (Frequently Asked Questions)	kwelvrae, neulvrae, (FAQ)
far too much	alteveel
farewell	totsiens
farewell dinner	afskeiddinee, afskeidsdinee, afskeidsmaal, afskeidsmaaltyd
farewell party	afskeidpartytjie, afskeidspartytjie
farewell visit	afskeidbesoek, afskeidsbesoek
farewell, greet	groet
farewell, greetings, goodbye	afskeid
farm	plaas
farm butter	plaasbotter
farm implements	plaasgereedskap
farm life	plaaslewe
farm road	plaaspad
farmhouse	plaashuis
farms	plase
farmyard	plaaswerf
fartewell kiss	afskeidsoen
fascinate	fassineer
fashion, mode	mode
fast	vas
fast and testimony meeting	vas en getuienisbyeenkoms
fast forward	snel vorentoe (radio)
fast offering	vasoffer
fast sunday	vas-sondag
fast, quick, rapid, speedy, swift, quickly	vinnig
fast, quickly, swiftly	gou
fasten together, glue (v)	aaneenheg
fat, fatty, greasy	vetterig
fat, fatty, greasy, grease	vet
father	pa
father	pa, vader
father	vader
Father Christmas	Kersvader
fathom (v)	peil
fathomable	peilbaar, peilbare
fatty acid	vetsuur
favourites	gunstelinge
fax (facsimile)	faks (faksimilie)
fear	angs
fear	bangheid
fear	vrees
fearful	angstig
Feast of Tabernacles	Loofhuttefees
feather, pen	veer
February	Februarie
feces	ontlasting
feel	voel
feel, sense	voel
female, feminine	vroulik
fence trellising	heiningstelsel
ferment (v)	gis (ww)
ferment out	drooggis
ferment out	uitgis
fermentation	gisting
fermentation tanks	gistenke
fermented	uitgegis
fermenting yeast	bogistop
fertile	vrugbaar
fertiliser	bemesting
feudal	feodaal
fever	koors
feverish	koorsig
field	veld
field	veld (bv e-pos adresveld), veld (by databasis)
field(s)	terrein(e)
FIFO (first in, first out)	EIEU (eerste in, eerste uit)
fifteen	vyftien
fifth	vyfde
fifty	vyftig
fig	vy
fight	baklei
fight alongside	meeveg
fight, struggle	veg
file, line, rank, row, turn	tou
fill up	aanvul
fill, fill in, fill up	invul
fill, fill in, fill up	vol maak
filler hole	vul(ler)gat
filler neck	vullernek
filling wine	opvulwyn
film yeast	kimgis
film, motion picture, movie	film
film, motion picture, movie	prent
film, motion picture, movie	rolprent
filter pad	filterpapier
filtered	gefiltreer
filtration	filtrasie
final drive	eindaandrywing
final examination	eindeksamen
final judgement	eindoordeel
final rinse	finale afspoel
find fault	afkraak
find out	agterkom
fine	boete
fine (n)	afkoopboete
fine (v)	beboet
fine lees	fynmoer
fine, great, eminent	puik
fine, very well	uitstekend
finger	vinger
finish (v)	afhandel
finish one's studies	afstudeer
finished, ready, through	bereid
finished, ready, through	gereed
finishing school	afrondingsoord
Finland	Finland
Finn	Fin
Finn	Finlander
Finnish	Fins
fino sherry	finosjerrie, droë sjerrie
fir	denneboom
fir, pine, pine tree	den
fire	vuur
fire off	afvuur
firewall	vuurmuur, brandmuur (cmdp)
firm, robust, sturdy, solid	ferm
firm, robust, sturdy, solid	stewig
first	eerste
first aid	noodhulp
first counselor	eerste raadgewer
first leaf	eerste blad
first presidency	eerste presidensie
first quorum of seventy	eerste kworum van sewentig
first vision	eerste visioen
firstborn	eersgeborene
fish	vis
fish	visvang
fisherman	visser
fishing rod	hengel
fishy	visagtig
fist	vuis
fit (v), adapt	aanpas
fit, conform, fit in, be appropriate, suit	pas
fitting cubbilcle	aantrekhokkie, aantrekkamer
fitting room	aanpasvertrek
five	vyf
fix, repair	regmaak
flame	vlam
flame (n)(comp)	dondergram ('n hele boodskap), vuurskoot (frase of enkele sinne)
flame (v)(comp)	met vuur skiet, bliksem (minder formeel)
flame war	vlamoorlog, bliksemstryd
Flanders	Vlaandere
flare, flare up	flikker
flat	plat
flat (surface)	vlak, gelyk
flat (tyre, wine)	pap
flat-bottomed barge	platboomskuit
flat-headed nail	platkopspyker
flat-roofed house	platdakhuis
flatness	platheid
flattened, pressed flat	platgedruk, platgedrukte
flatter, valley	vlei
flavoured grape drink	gegeurde druifdrankie
flee, run away	vlug
Flemming	Vlaming
Flemmish	Vlaams
flesh	vleis
flesh tissue	vleisweefsel
flexibility	buigsaamheid
flimsy, weak, delicate	pieperig, pieperige
flinty taste	kruitsmaak
float, swim	swem
flock, herd	kudde
flock, herd	trop
flood	oorstroom
floor, storey, story	verdieping
flor	flor
floral	bloeisel
floral nose	bloeiselneus
floryeast	florgistend
flour	bakmeel
flour	meel
flow	stroom
flow	vloei
flow control	vloeibeheer, kommunikasiebeheer
flow, function, operate, run, work	loop
flower bouquet	blomboeket
flowerbud	blomknop
flowery aroma	blomaroma
flu, grip, influenza	griep
fluid, liquid	vloeistof
Flushing	Vlissingen
flute	fluit
fly wheel	vliegwiel
fly, housefly	vlieg
flying fox, fruit bat	piesangvlermuis
foam	skuim
foam, froth	skuim
focus (v.)	fokus (ww.)
focused (a.)	gefokus(te) (b.nw.)
fog, mist	mis
folder	vakkie, vouer
follow	agternasit
follow	upopvolg
follow	volg
follow, hunt, pursue	agtervolg
follower	aanhanger
followers	aanhangers
following (n)	aanhang
following, next	volgende
font	font, lettertipe
food, nourishment	voedsel
foolish, stupid	dom
foot, paw	voet
football, soccer	sokker
footrest	voetrus
for argument's sake	argumentshalwe
for the greater part, for the most part, mostly	merendeels
for, during, while, whilst	gedurende
for, during, while, whilst	terwyl
for, during, while, whilst	tydens
for, to, in order to	om te
forbidden fruit	verbode vrug
force (v)	forseer
force, strength, vigour	krag
force, strength, vigour, be allowed to, may	mag
forced lubrication	druksmering
forecourt	voorplein
foreground, close-up	voorgrond
forehead	voorkop
foreign country	buiteland
forest, woods	bos
forested	bebos
forget	vergeet
forgive, pardon	vergeef
form, shape	gedaante
form, shape, blank	vorm
formal	formeel
formal wear	balkostuum
format (n)	formaat
format (v)	formatteer
former, last, previous, prior, ex-	voormalige
former, last, previous, prior, ex-	vroeëre
fornication	hoerery
fortified wine	gefortifiseerde wyn, versterkte wyn
fortunate, happy	gelukkig
forty	veertig
forum	forum
forward slash	vorentoeskuinsstrepie (kyk ook wack)
fossil	fossiel
fountain, source, spring	bron
four	vier
four strand system	vierdraadstelsel
fourteen	veertien
fourth	vierde
foxy taste	wilde smaak
fragment, lump, piece, part, share, spare part	stuk
frames	rame, ruite, venters
France	Frankryk
Franconia	Frankeland
Frankish	Frankies
free	gratis
free	vry
free agency	vrye wil
free run, free run-off	vrye afloop
free running juice	vryloopsap
free-standing	alleenstaande
freedom	vryheid
freedom of the press	persvryheid
freeware	vryware
freeze	vries
freezer	vrieshok
French brandy	konjak
French, French language	Frans
French, French language	Franse taal
Frenchman	Fransman
frequency	frekwensie, gereeldheid (algemeen)
frequently, often, regularly	dikwels
fresh	vars
fresh water	vars water
fresh, recent	vars
Friday	Vrydag
friend	vriend
friend	vriendin
Friesland	Friesland
fripperies	tierlantyntjies
Frisian	Fries
frivolous	aanstellerig
from here, hence	hiervandaan
from there, thence	daarvandaan
from, out of	uit
from, out of	van ... af
from, since	vanaf
front bumper	stamper
front bumper	voorbuffer
front end	voor=
front footrest	voorste voetrus
front suspension torsion bar	voorveringtorsiestang
froth	skuim
frozen	bevrore
fruit	vrug
fruit acid	vrugtesuur
fruitbud	vrugknop
fruitiness	vrugtigheid
fruity	vrugtig
fry	braai
frying oil	bakolie
FTP (File Transfer Protocol)	FTP (Lêeroordragprotokol), LOP (minder algemeen gebruik)
ftp-site	ftp-werf
fuel	brandstof
fuel indicator	brandstofmeter
fuel injector pump	brandstofinspuit(ing(s))pomp
fuel system	brandstofstelsel
fuel tank	petroltenk
fuel tank capacity	tenkgrootte
full bodied	lywig
full wine	vol wyn
full-dipped	volle dompeling
full-stop	punt (.)
full-time	heeltyds
fullback	heelagter
fullness	volheid
fullness, body	lyf, volheid
fully sweet	volsoet
fun, pleasure	genot
fun, pleasure	plesier
function	funksie
function, operate, run, work, job	werk
fund	fonds
fungus infection	fungusbesmetting
fur	pels
fur coat	pelsjas
fur seal	pelsrob
fur seals	pelsrobbe
fur trade	pelshandel
fur trapper	pelsjagter
furlough, leave, pass	verlof
furniture	ameublement
furry creature	pelsdier
future	toekoms
future oriented	toekomsgerig(te)
FYI: (for your information:)	ter kennis van (by e-pos)
gable truss trellising	gewelstelsel
gadget, apparatus	apparaat
Gaelic, Celtic	Kelties
gain, profit	wins
Galician	Galicies
gallery	galery
galsterig	rancid
galvanised wire	bloudraad
games	speletjies
garage	garage
garage	motorhawe
garden	tuin
garden of eden	tuin van eden
gardening	tuinmaak
garlic	knoffel
gas, guest	gas
gasolene, gasoline, petrol	petrol
gateway	deurgangspoort (clc), toegangspoort, ingangspoort (meer akkuraat)
gathering of Israel	insameling van Israel
Gaul	Gallië
gaunt, lean, meager, skimpy, skinny, thin	maer
gaunt, lean, meager, skimpy, skinny, thin	skraal
gaunt, lean, slender, thin	dun
gazette, magazine, newspaper, periodical	koerant
gear-box, gear-case	ratkas
gearbox	ratkas
gearchange lever	rathefboom
gearchange lever	ratkierie
gearshift	ratkierieposisie
gecko	geitjie
geiger counter	geigerteller
gem, jewel	juweel
gender	geslag
genealogy	genealogie
general	generaal
general (a)	algemeen, algemene
general authority	algemene gesagdraer, algemene kerkleier
general, usual	algemeen
generalities, banalities	algemeenhede
generally	in die algemeen
generation	generasie
generation	geslag
generation, sex	geslag
Genesis	Genesis
Geneva	Geneve
Genoa	Genua
genre	genre
gentiles	nie-jode
gentle, soft, sweet, tender	soet
gentle, soft, sweet, tender, charming, lovely	lieflik
genuinely, indeed, really, truly	regtig
genuinely, indeed, really, truly, absolutely	darem
geographer	aardrykskundige
geographic, geographical	geografies
geographical	aardrykskundig
geography	aardrykskunde
geomagnetism	aardmagnetisme
geometrical	meetkundig
geometrist	meetkundige
geometry	meetkunde
geophysics	aardkunde
geranium	malva
German measles	Duitse masels
German measles	rooihond
German, German language	Duits
German, German language	Duitse taal
German, Teuton	Germaan
Germanic, Teutonic	Germaans
Germany	Duitsland
germinate	ontkiem
get cold	koud word
get dressed	aanklee
get lost	afdwaal
get out, get out of a car	afklim
get up, rise, stand, stand up, ascend, go up	opstaan
get, have, receive	bekom
get, have, receive	kry
get, have, receive	ontvang
get, lay hold of, pick up, take	oppik
get, lay hold of, pick up, take	optel
Ghent	Gent
gherkin	agurkie
ghetto	armbuurt
ghost, phantom	spook
giant	reus
gift of healing	gawe van gesondmaking
gift of the holy ghost	gawe van die heilige gees
gift of the interpretation of tongues	gawe van uitleg van tale
gift of tongues	gawe van die spreek in tale
gift, present	donasie
gift, present	geskenk
gigabyte	gigagreep
gin	jenewer
giraffe	kameelperd
girl	meisie, dogter
girl	meisie, meisiekind, meisiemens
girl's name	meisienaam
girl's' doubles (tennis)	meisiesdubbelspel
girl, lass	meisie
girlish	meisieagtig, meisieagtige
girls' school	meisieskool
